Koordinatensystem : Lambert konform konisch
Rechtswert        : 4210500 Meter
Hochwert          : 2861500 Meter
Hoehenlage        : 32 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
4210500 2861500  1  5 15   5.2  995 149  5.0 7  4.5  81    0   20 299 -342  1
4210500 2861500  1  5 16   5.5  993 144  5.2 8  4.7  83    0    4 313 -341  1
4210500 2861500  1  5 17   5.6  992 167  4.8 8  4.8  84    0    0 328 -340  1
4210500 2861500  1  5 18   5.5  991 157  5.9 8  4.9  84    0    0 330 -340  1
4210500 2861500  1  5 19   5.3  990 158  6.7 8  5.0  87    0    0 332 -341  1
4210500 2861500  1  5 20   5.4  988 165  5.5 8  5.0  88    0    0 334 -343  1
4210500 2861500  1  5 21   5.4  988 166  4.1 8  5.1  90    0    0 335 -344  1
4210500 2861500  1  5 22   5.8  987 175  4.2 8  5.3  91    0    0 336 -346  1
4210500 2861500  1  5 23   6.8  987 174  4.0 8  5.4  89    0    0 339 -348  1
4210500 2861500  1  5 24   7.3  987 181  3.9 7  5.6  87    0    0 332 -350  1
4210500 2861500  1  6  1   7.7  987 182  4.4 7  5.7  86    0    0 327 -352  1
4210500 2861500  1  6  2   8.6  987 185  4.1 7  5.9  84    0    0 330 -355  1
4210500 2861500  1  6  3   8.5  987 198  4.0 7  6.0  84    0    0 331 -357  1
4210500 2861500  1  6  4   8.8  987 189  4.2 7  6.0  83    0    0 331 -359  1
4210500 2861500  1  6  5   8.8  987 188  4.5 8  6.0  83    0    0 337 -357  1
4210500 2861500  1  6  6   9.0  987 186  4.8 8  6.2  85    0    0 342 -353  1
4210500 2861500  1  6  7   8.8  986 181  5.2 8  6.5  89    0    0 341 -350  1
4210500 2861500  1  6  8   9.2  986 189  5.8 8  6.8  92    0    0 339 -346  1
4210500 2861500  1  6  9   9.3  986 194  5.9 8  6.9  92    3    8 338 -338  1
4210500 2861500  1  6 10   9.8  986 222  6.8 7  7.0  92   12   40 331 -331  1
4210500 2861500  1  6 11  10.4  987 263  8.4 7  7.1  90    0   52 325 -331  1
4210500 2861500  1  6 12   8.2  990 270  7.8 8  6.4  85    5   82 322 -332  1
4210500 2861500  1  6 13   7.8  992 270  6.8 7  5.6  82    0   46 313 -334  1
4210500 2861500  1  6 14   8.1  994 267  7.9 6  5.6  82    6   80 300 -334  1
4210500 2861500  1  6 15   8.1  995 271  5.8 7  5.4  78   18   65 296 -333  1
4210500 2861500  1  6 16   7.1  996 261  4.9 6  5.0  76    0   13 293 -331  1
4210500 2861500  1  6 17   6.2  998 255  3.7 6  4.8  78    0    0 284 -327  1
4210500 2861500  1  6 18   5.8  999 229  3.2 5  4.7  79    0    0 275 -325  1
4210500 2861500  1  6 19   5.8 1000 216  3.4 3  4.7  81    0    0 259 -324  1
4210500 2861500  1  6 20   5.6 1001 205  2.6 5  4.8  83    0    0 257 -324  1
4210500 2861500  1  6 21   5.6 1001 193  2.5 6  4.8  84    0    0 272 -323  1
4210500 2861500  1  6 22   5.6 1002 203  3.5 7  4.8  84    0    0 284 -323  1
4210500 2861500  1  6 23   5.4 1002 195  3.0 7  4.8  84    0    0 291 -323  1
4210500 2861500  1  6 24   5.7 1002 210  3.2 7  4.9  85    0    0 291 -322  1
4210500 2861500  1  7  1   6.3 1003 227  3.3 7  4.9  84    0    0 293 -322  1
4210500 2861500  1  7  2   5.9 1004 227  3.1 6  4.8  82    0    0 289 -321  1
4210500 2861500  1  7  3   6.0 1004 220  2.5 7  4.8  82    0    0 291 -320  1
4210500 2861500  1  7  4   5.7 1004 234  3.2 6  4.8  82    0    0 293 -318  1
4210500 2861500  1  7  5   4.7 1005 213  3.1 7  4.6  84    0    0 292 -318  1
4210500 2861500  1  7  6   4.4 1005 219  2.6 5  4.6  86    0    0 285 -319  1
4210500 2861500  1  7  7   4.4 1006 221  2.4 5  4.6  88    0    0 271 -320  1
4210500 2861500  1  7  8   3.8 1006 204  2.5 3  4.5  88    0    0 257 -321  1
4210500 2861500  1  7  9   3.3 1006 208  1.7 3  4.4  89    3    9 244 -323  1
4210500 2861500  1  7 10   3.1 1007 202  2.2 4  4.3  90   43   46 250 -326  1
4210500 2861500  1  7 11   4.1 1008 202  2.5 4  4.5  91   71   82 259 -329  1
4210500 2861500  1  7 12   5.6 1008 212  3.1 5  4.8  89   63  112 270 -332  1
4210500 2861500  1  7 13   6.3 1008 215  3.1 5  4.9  84   54  118 280 -335  1
4210500 2861500  1  7 14   7.2 1008 224  3.5 5  5.0  81   51  104 284 -336  1
4210500 2861500  1  7 15   7.1 1008 205  3.5 6  5.0  79   21   71 291 -336  1
4210500 2861500  1  7 16   6.6 1008 190  3.2 6  4.9  78    1   25 296 -336  1
4210500 2861500  1  7 17   5.8 1008 190  2.7 6  4.8  80    0    0 293 -335  1
